URL,SHA,Module,Test_Name,Status,Github_link,ISSRE_Category,P-values,%_Failing_TCOs,TSO_fail_rate,ISO_fail_rate,TSO_num_runs,TSO_num_pass,ISO_num_runs,ISO_num_pass,TSO_Runs,TSO_Fails,Categories_from_other_papers
https://github.com/square/retrofit,ae28c3d5f6fe54f6ca409cdf82106efb47609f8f,./retrofit-adapters/rxjava,retrofit2.adapter.rxjava.SingleThrowingTest.responseThrowingInOnSuccessDeliveredToPlugin,Inspected,,NDOD,4.40E-68,14.3,0.53,0,4000,3979,4000,4000,(100;100;100;100;100;100;100;2000;100;100;100;100;100;100;100;100;100;100;100;100;100),(12;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;1;0;0;0;0),NDOD;NOD
https://github.com/square/retrofit,ae28c3d5f6fe54f6ca409cdf82106efb47609f8f,./retrofit-adapters/rxjava,retrofit2.adapter.rxjava.CompletableThrowingTest.throwingInOnCompleteDeliveredToPlugin,Inspected,,NDOD,1.43E-111,4.8,0.38,0,4000,3985,4000,4000,(100;100;100;100;100;100;100;2000;100;100;100;100;100;100;100;100;100;100;100;100;100),(0;0;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0),NDOD;NOD
https://github.com/TooTallNate/Java-WebSocket,fa3909c391195178ccf5a92d4ac342a30ae247c8,.,org.java_websocket.issues.Issue621Test.testIssue,Inspected,,NDOD,5.31E-251,9.5,1.13,0,4000,3955,4000,4000,(2000;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100),(0;0;0;8;0;0;0;0;0;0;37;0;0;0;0;0;0;0;0;0;0),NDOD
https://github.com/codingchili/excelastic,6bb7884b1e70f9e588d75bdaf132a84f6e896a7a,.,com.codingchili.TestWriter.shouldWriteToElasticPort,Inspected,,NDOD,7.90E-269,58.3,11.38,0,4000,3545,4000,4000,(100;100;200;100;100;200;200;2200;100;200;100;400),(26;32;51;0;38;0;75;0;50;0;0;183),NDOD;OD-Vic;NOD
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue,Accepted,https://github.com/alibaba/fastjson/pull/2148,OD,0,9.5,5,100,4000,3800,4000,0,(100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100),(0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0),OD
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.issue_1200.Issue1298.test_for_issue_1,Accepted,https://github.com/alibaba/fastjson/pull/2148,OD,0,9.5,5,100,4000,3800,4000,0,(100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100),(0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;100;0;0),OD
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_7,Accepted,https://github.com/alibaba/fastjson/pull/3291,OD,0,4.8,2.5,100,4000,3900,4000,0,(100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100),(0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0),OD
https://github.com/alibaba/fastjson,e05e9c5e4be580691cc55a59f3256595393203a1,.,com.alibaba.json.bvt.parser.DefaultExtJSONParser_parseArray.test_8,Accepted,https://github.com/alibaba/fastjson/pull/3291,OD,0,4.8,2.5,100,4000,3900,4000,0,(100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100),(0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0),OD
https://github.com/apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,./dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet.PortTelnetHandlerTest.testListAllPort,Accepted,https://github.com/apache/incubator-dubbo/pull/2906,OD,0,19.0,10,0,4000,3600,4000,4000,(100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;2000),(0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;100;0;100;0),OD-Vic
https://github.com/apache/incubator-dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,./dubbo-rpc/dubbo-rpc-dubbo,org.apache.dubbo.rpc.protocol.dubbo.telnet.PortTelnetHandlerTest.testListDetail,Accepted,https://github.com/apache/incubator-dubbo/pull/2906,OD,0,19.0,10,0,4000,3600,4000,4000,(100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;2000),(0;0;0;0;0;0;100;0;0;0;0;0;100;0;0;0;0;100;0;100;0),OD-Vic
https://github.com/elasticjob/elastic-job-lite,b022898ef1b8c984e17efb2a422ee45f6b13e46e,./elastic-job-lite-core,io.elasticjob.lite.internal.failover.FailoverServiceTest.assertGetLocalFailoverItemsIfShutdown,Accepted,https://github.com/elasticjob/elastic-job-lite/pull/592,OD,0,4.8,2.5,0,4000,3900,4000,4000,(100;100;100;100;100;100;100;100;100;100;100;100;100;100;100;2000;100;100;100;100;100),(0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0),OD-Vic
https://github.com/wso2/carbon-apimgt,a82213e40e7e6aa529341fdd1d1c3de776949e64,./analyzer-modules/org.wso2.carbon.apimgt.throttling.siddhi.extension,org.wso2.carbon.apimgt.throttling.siddhi.extension.ThrottleTimeBatchWindowTestCase.throttleTimeWindowBatchTest2,,,,undefined,100,0.1,0.1,4000,3996,4000,3996,(4000),(4),NDOD
https://github.com/feroult/yawp,b3bcf9c958d51b3b3f8fdd0ccc26923d5a531da1,./yawp-testing/yawp-testing-appengine,io.yawp.testing.appengine.pipes.flow.FlowDropsTest.testFlowDropsToSameSink,,,,undefined,100,1.6,2.375,4000,3936,4000,3905,(4000),(64),NDOD;NOD
https://github.com/espertechinc/esper,590fa9c9eb854f1420b9d337b802aca19f963cc0,./examples/rfidassetzone,com.espertech.esper.example.rfidassetzone.TestLRMovingSimMain.testSim,,,,undefined,100,2.95,3.65,4000,3882,4000,3854,(4000),(118),NDOD;NOD
https://github.com/spinn3r/noxy,d53a49421f385c70b5abe7e8cda84ff3a7b59c71,./noxy-discovery-zookeeper,com.spinn3r.noxy.discovery.zookeeper.ZKTest.testBulkClusterJoining,Inspected,,NDOD,undefined,100,49,0,4000,2040,4000,0,(4000),(1960),NDOD;UD;NOD
https://github.com/spinn3r/noxy,d53a49421f385c70b5abe7e8cda84ff3a7b59c71,./noxy-discovery-zookeeper,com.spinn3r.noxy.discovery.zookeeper.ZKTest.testMembershipJoinAndLeave,Inspected,,NDOD,undefined,100,49,0,4000,2040,4000,0,(4000),(1960),NDOD;UD
https://github.com/spinn3r/noxy,d53a49421f385c70b5abe7e8cda84ff3a7b59c71,./noxy-discovery-zookeeper,com.spinn3r.noxy.discovery.zookeeper.ZKTest.testDiscoveryListener,Inspected,,NDOD,undefined,100,50,0,4000,2000,4000,0,(4000),(2000),NDOD;UD;NOD
