Test_name,TSO_flake_rate,ISO_flake_rate
org.java_websocket.issues.Issue580Test.runNoCloseBlockingTestScenario8,0.050%,0.000%
org.java_websocket.issues.Issue621Test.testIssue,1.125%,0.000%
org.java_websocket.issues.Issue677Test.testIssue,0.500%,0.200%
org.java_websocket.issues.Issue713Test.testIssue,0.025%,0.150%
org.java_websocket.misc.OpeningHandshakeRejectionTest.testHandshakeRejectionTestCase0,0.025%,0.025%
org.java_websocket.misc.OpeningHandshakeRejectionTest.testHandshakeRejectionTestCase10,1.125%,0.000%
org.java_websocket.misc.OpeningHandshakeRejectionTest.testHandshakeRejectionTestCase11,0.100%,0.000%
org.java_websocket.protocols.ProtoclHandshakeRejectionTest.testHandshakeRejectionTestCase10,0.475%,0.000%
ro.isdc.wro.extensions.processor.support.sass.TestRubySassEngine.shouldProcessValidCss,0.075%,0.000%
ro.isdc.wro.extensions.processor.support.sass.TestRubySassEngine.shouldProcessValidNonAsciiSass,0.075%,0.000%
ro.isdc.wro.extensions.processor.support.sass.TestRubySassEngine.shouldProcessValidSass,0.075%,0.000%
ro.isdc.wro.extensions.processor.TestBourbonCssProcessor.shouldBeThreadSafe,0.700%,0.300%
ro.isdc.wro.extensions.processor.TestRubySassCssProcessor.executeMultipleTimesDoesntThrowOutOfMemoryException,0.075%,0.000%
ro.isdc.wro.extensions.processor.TestRubySassCssProcessor.shouldBeThreadSafe,0.150%,0.300%
ro.isdc.wro.extensions.processor.TestRubySassCssProcessor.shouldBeThreadSafeWhenInitializingProcessor,0.650%,0.375%
ro.isdc.wro.extensions.processor.TestRubySassCssProcessor.shouldSucceedAfterAFailure,0.075%,0.000%
ro.isdc.wro.extensions.processor.TestRubySassCssProcessor.shouldTestFromFolder,0.075%,0.000%
org.wso2.carbon.apimgt.throttling.siddhi.extension.ThrottleTimeBatchWindowTestCase.throttleTimeWindowBatchTest2,0.100%,0.100%
